,date,ML,Low,High
Castilla y León,2020-04-25,0.9400000000000001,0.53,1.35
Castilla y León,2020-04-26,0.86,0.44,1.27
Castilla y León,2020-04-27,0.81,0.37,1.22
Castilla y León,2020-04-28,0.73,0.3,1.18
Castilla y León,2020-04-29,0.73,0.28,1.19
Castilla y León,2020-04-30,0.74,0.27,1.21
Castilla y León,2020-05-01,0.75,0.27,1.24
Castilla y León,2020-05-02,0.76,0.28,1.28
Castilla y León,2020-05-03,0.8,0.29,1.31
Castilla y León,2020-05-04,0.84,0.31,1.35
Castilla y León,2020-05-05,0.91,0.39,1.45
Castilla y León,2020-05-06,0.91,0.38,1.45
Castilla y León,2020-05-07,0.89,0.34,1.42
Castilla y León,2020-05-08,0.92,0.39,1.49
Castilla y León,2020-05-09,0.9400000000000001,0.38,1.48
Castilla y León,2020-05-10,0.9400000000000001,0.39,1.5
Castilla y León,2020-05-11,0.9,0.33,1.45
Castilla y León,2020-05-12,0.85,0.29,1.43
Castilla y León,2020-05-13,0.8300000000000001,0.26,1.42
Castilla y León,2020-05-14,0.79,0.22,1.4000000000000001
Castilla y León,2020-05-15,0.71,0.13,1.31
Castilla y León,2020-05-16,0.6,0.02,1.16
Castilla y León,2020-05-17,0.53,0.0,1.11
Castilla y León,2020-05-18,0.47000000000000003,0.0,1.1
Castilla y León,2020-05-19,0.42,0.0,1.12
